name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
BATA Mens Boss-Grip Uniform Dress Shoe,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rYxtbE8SS._AC_UL320_.jpg,https://www.amazon.in/BATA-BOSS-Grip-Brown-Uniform-8216033/dp/B096BGFYRQ/ref=sr_1_5?qid=1679147878&s=shoes&sr=1-5,3.8,"2,930",₹689,₹999
BATA Mens Boss-ace Uniform Dress Shoe,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/7156HUlSOmL._AC_UL320_.jpg,https://www.amazon.in/BATA-BOSS-ACE-Uniform-Shoe-8-8216026/dp/B0987SS1G2/ref=sr_1_6?qid=1679147878&s=shoes&sr=1-6,3.8,"3,141",₹849,₹999
Power Mens Extreme Leather Sneaker,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/816Q2aXDy2L._AC_UL320_.jpg,https://www.amazon.in/Power-Extreme-Leather-Sneaker-8-8337894/dp/B097C7229B/ref=sr_1_7?qid=1679147878&s=shoes&sr=1-7,4.0,"2,831",₹917,"₹1,699"
BATA Men Sa 05 Formal Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71vD26G+ECL._AC_UL320_.jpg,https://www.amazon.in/BATA-Black-Formal-Shoes-7-8216812/dp/B07PTC3GY4/ref=sr_1_8?qid=1679147878&s=shoes&sr=1-8,3.9,"6,335",₹576,"₹1,199"
Hush Puppies Men Aaron Derby Formal Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81xG3fjG5EL._AC_UL320_.jpg,https://www.amazon.in/Hush-Puppies-Formal-Shoes-9-8246872090_8246872/dp/B07BTG8XDZ/ref=sr_1_9?qid=1679147878&s=shoes&sr=1-9,3.9,"1,981","₹3,000","₹3,299"
Pack of 3 Shoe Shine Sponge For All Type of Leather,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Ff7-fS5hL._AC_UL320_.jpg,https://www.amazon.in/Shine-Sponge-Leather-Natural-Black-Brown/dp/B08LKKL3YJ/ref=sr_1_10?qid=1679147878&s=shoes&sr=1-10,4.0,349,₹243,₹270
BATA Men's Formal Dress Slip On Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/7165cMiIO9L._AC_UL320_.jpg,https://www.amazon.in/BATA-851-6012-42-Black-Formal-Dress/dp/B08H5NMWSL/ref=sr_1_11?qid=1679147878&s=shoes&sr=1-11,3.7,"5,595",₹994,₹999
Centrino Mens Formal Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61AjKQSFMhL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Black-Formal-Shoes-9-7956-03/dp/B07QPZQ87P/ref=sr_1_12?qid=1679147878&s=shoes&sr=1-12,3.8,"15,629",₹699,"₹2,199"
Amazon Brand - Symbol Mens Men Formal Shoes Shoes,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71EekR5AZCL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Synthetic-AZ-KY-352/dp/B084GPWVWT/ref=sr_1_13?qid=1679147878&s=shoes&sr=1-13,3.8,"3,744",₹519,"₹1,699"
BATA Mens Boss-Victor Sneaker,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71jkotTzPxL._AC_UL320_.jpg,https://www.amazon.in/BATA-BOSS-Victor-Uniform-Shoe-8-8516021/dp/B0987S3KB9/ref=sr_1_14?qid=1679147878&s=shoes&sr=1-14,3.9,595,₹589,₹799
