name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
INOVERA (LABEL) Women Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Raw8VUk5L._AC_UL320_.jpg,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_5?qid=1679158589&s=shoes&sr=1-5,4.1,"7,143","₹1,249","₹1,999"
DEIN KLEIDER Men's Nylon Messenger Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81wnCexA4tL._AC_UL320_.jpg,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_6?qid=1679158589&s=shoes&sr=1-6,4.0,"4,558",₹349,"₹1,199"
ALIZA Women's Tote Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/815ZbFl1sdL._AC_UL320_.jpg,https://www.amazon.in/ALIZA-Womens-Tote-Bag-Black/dp/B08JJ8RQNR/ref=sr_1_7?qid=1679158589&s=shoes&sr=1-7,4.0,"7,845",₹423,"₹1,490"
Fargo Handbag For Women And Girls COMBO SET OF 5 (Light5pc),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51-+SFrhYFL._AC_UL320_.jpg,https://www.amazon.in/Fargo-Handbag-Women-Girls-Light5pc/dp/B09N3K2ZCP/ref=sr_1_8?qid=1679158589&s=shoes&sr=1-8,3.2,"3,105",₹499,"₹3,999"
Baggit Women's PEPSI Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ujEx4nYiL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_9?qid=1679158589&s=shoes&sr=1-9,4.3,"2,065",₹649,"₹1,599"
"A.W.Faber-Castell I Pvt Textliner Pastel -Wallet of 5, Multicolor (553505)",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91sOOfnGdZL._AC_UL320_.jpg,https://www.amazon.in/W-Faber-Castell-Textliner-Pastel-Wallet-553505/dp/B0971B4JP9/ref=sr_1_10?qid=1679158589&s=shoes&sr=1-10,4.4,505,₹110,₹125
TOOBA Women's Handicraft Beautiful Bling Box Clutch Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cVvydO3qL._AC_UL320_.jpg,https://www.amazon.in/Tooba-Womens-Clutch-Sparkling-Gold/dp/B07SGJZT8Y/ref=sr_1_11?qid=1679158589&s=shoes&sr=1-11,4.0,"4,411",₹295,"₹4,999"
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Wedding Gifts For Women | Women 3 Compartmen...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71fZ4nCbKvL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R/ref=sr_1_12?qid=1679158589&s=shoes&sr=1-12,4.1,"9,061",₹629,"₹2,399"
Lino Perros Women's leatherette Tote Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713PyK91XHL._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Tote-Pink/dp/B07JN9G66H/ref=sr_1_13?qid=1679158589&s=shoes&sr=1-13,4.3,"2,631","₹1,281","₹4,495"
Amazon Brand - Eden & Ivy Women's Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51b2Ii+fFcL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Autumn-Winter20-womens-Handbag/dp/B08H89HSRV/ref=sr_1_14?qid=1679158589&s=shoes&sr=1-14,4.3,"2,099",₹659,"₹1,899"
Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger Bag for Men Women (25x16x7.5cm) (Dark...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91AUcF7C+VL._AC_UL320_.jpg,https://www.amazon.in/Storite-Cross-Travel-Dark-Grey/dp/B07PFF4RYC/ref=sr_1_15?qid=1679158589&s=shoes&sr=1-15,4.1,"8,153",₹449,"₹1,699"
Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81JDsBTLdFL._AC_UL320_.jpg,https://www.amazon.in/Lavie-Ushawu-Womens-Satchel-Mint/dp/B07T9GB7RN/ref=sr_1_16?qid=1679158589&s=shoes&sr=1-16,4.1,"5,766","₹1,214","₹4,499"
Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717BChXEX7S._AC_UL320_.jpg,https://www.amazon.in/Lavie-Betula-Womens-Tote-Mint/dp/B08J8M2B42/ref=sr_1_17?qid=1679158589&s=shoes&sr=1-17,4.1,"18,527",₹839,"₹3,190"
Modfrill Casual Crossbody Synthetic Leather Men Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Zds7KSstL._AC_UL320_.jpg,https://www.amazon.in/MODFRILL-Mens-Sling-Bag-Brown/dp/B08NG4FMYK/ref=sr_1_18?qid=1679158589&s=shoes&sr=1-18,4.1,"1,466",₹467,"₹2,199"
Pramadda Pure Luxury Mini Faux Leather Mobile Sling Bag For Women | Stylish Side Shoulder Crossbody Bags For Girls Daily U...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71m6UEyzSBL._AC_UL320_.jpg,https://www.amazon.in/Pramadda-Pure-Luxury-Crossbody-Messenger/dp/B09RKKGQVR/ref=sr_1_19?qid=1679158589&s=shoes&sr=1-19,4.6,"1,257",₹495,"₹1,799"
ASTIR COLLEEN Women's Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/510zTEarEBL._AC_UL320_.jpg,https://www.amazon.in/ASTIR-COLLEEN-Womens-Girls-Sling/dp/B08KZC1NNH/ref=sr_1_20?qid=1679158589&s=shoes&sr=1-20,4.1,"1,095",₹297,"₹1,199"
Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713obr3SySS._AC_UL320_.jpg,https://www.amazon.in/Marma-Zig-Zag-Sling-Navy/dp/B08KR4WRM6/ref=sr_1_25?qid=1679158589&s=shoes&sr=1-25,4.0,"2,826",₹861,"₹2,690"
INOVERA (LABEL) Faux Leather Tri-fold Fashion Card Coin Small Clutch Wallet for Women (KK29) - Black,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EciXxATmL._AC_UL320_.jpg,https://www.amazon.in/INOVERA-LABEL-Leather-Tri-fold-Fashion/dp/B094ZRCW4D/ref=sr_1_26?qid=1679158589&s=shoes&sr=1-26,4.2,"1,940",₹447,₹999
"Vivinkaa Sling Bag for Women stylish Latest Branded, Sling Bag Women, Sling Bags for Women I Ethnic Printed Purse for wome...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+FCdcCGuL._AC_UL320_.jpg,https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_27?qid=1679158589&s=shoes&sr=1-27,3.8,"1,799",₹499,"₹1,199"
ALSU Women's Maroon Faux Leather Hand Wallet Clutch Trendy | 6 Card Slots | Phone Pocket (shd-004mar),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PuHuhVxFL._AC_UL320_.jpg,https://www.amazon.in/ALSU-Maroon-Leather-WomensWallet-SHD-004/dp/B08P9GWYJR/ref=sr_1_28?qid=1679158589&s=shoes&sr=1-28,4.1,"1,749",₹397,"₹1,699"
