name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Jockey 8820 Men's Super Combed Cotton Round Neck Sleeveless Vest with Extended Length for Easy Tuck (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81MfjxIbRsL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-8901326034347_8820-0310-WHITE-White/dp/B00W04OTYM/ref=sr_1_5?qid=1679142473&s=apparel&sr=1-5,4.2,"4,240",₹550,₹657
Rupa Jon Men's Cotton Vest (Pack of 5),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Y+PvZTDxS._AC_UL320_.jpg,https://www.amazon.in/Rupa-Jon-JN-VEST-RN_White_90/dp/B01N4TUR8N/ref=sr_1_6_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-6,4.1,"14,514",₹338,₹400
Jockey Men's Cotton Brief(Colors & Print May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HYj5w7cgL._AC_UL320_.jpg,https://www.amazon.in/Jockey-8037-0110-ASSTD-Black-M-8037-0110-Black_M/dp/B00WFU4QMG/ref=sr_1_7?qid=1679142473&s=apparel&sr=1-7,4.2,"25,655",,₹199
Dixcy Scott Men’s White Vest Modern Fit Innerwear (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZAELXrK3L._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Plain-Comfort-RN_White_L/dp/B07VLYCZVD/ref=sr_1_8_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8,4.1,"2,608",₹310,₹399
Jockey Men's Boxer Brief (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81tBQbZKm2L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-8008-0210-ASSTD-Charcoal-Melange/dp/B01420H4YS/ref=sr_1_9?qid=1679142473&s=apparel&sr=1-9,4.3,"10,536",,₹478
Euro Men's Cotton Brief (Pack of 5) (Colors May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81adovbULeL._AC_UL320_.jpg,https://www.amazon.in/Euro-Mens-Cotton-Brief-MICRA_Assorted_95/dp/B01N5V5HIX/ref=sr_1_10?qid=1679142473&s=apparel&sr=1-10,3.9,"11,285",₹378,₹710
Levi's Men Briefs(Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kaM8Z4H9L._AC_UL320_.jpg,https://www.amazon.in/Levis-Solid-Brief-PR82276_Lt-Nmel_L/dp/B07X723DP7/ref=sr_1_11?qid=1679142473&s=apparel&sr=1-11,3.9,"10,088",₹333,₹555
LUX VENUS Men's Cotton Vest (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71qTsAYhzKS._AC_UL320_.jpg,https://www.amazon.in/Lux-VENUS-Mens-Cotton-8904209873897_Venus_WH_RN_90_White/dp/B0721XWVH5/ref=sr_1_12_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-12,4.0,"11,334",₹228,₹299
Jockey Men's Cotton Regular Trunks,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91LB6YTEIDL._AC_UL320_.jpg,https://www.amazon.in/Jockey-US21-0105-BLACK-Black-Trunks-US21-0105-BLACK_Black_L/dp/B00W04L49K/ref=sr_1_13?qid=1679142473&s=apparel&sr=1-13,4.1,"13,695",,₹329
Jockey Mens Cotton Solid Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/719wwSkOlBL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-9922-0105-BLACK-Black/dp/B00W04QF4E/ref=sr_1_14?qid=1679142473&s=apparel&sr=1-14,4.1,"7,362",₹289,₹339
Levi's Men VEST,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61VGUzm2stL._AC_UL320_.jpg,https://www.amazon.in/Levis-Mens-Solid-Vest-012-VEST-WHT-P3_White_M/dp/B07X639KSP/ref=sr_1_15?qid=1679142473&s=apparel&sr=1-15,4.2,"6,630",₹405,₹675
Jockey Men's Tactel Nylon Classic Regular Trunks,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61q8wW-ecoL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Tactal-Trunks-8901326106877_IC28_M_Black/dp/B012SX4XIQ/ref=sr_1_16?qid=1679142473&s=apparel&sr=1-16,4.4,"10,573",,₹599
Dixcy Scott Men's Innerwear Regulart Fit Solid Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71s3RJcoIPL._AC_UL320_.jpg,https://www.amazon.in/DIXCY-Mens-Vest-K1-PR44937_Grey/dp/B07D75GHGN/ref=sr_1_17?qid=1679142473&s=apparel&sr=1-17,3.8,"6,378",₹259,₹399
Jockey Men Cotton Contour Brief (Pack of 1),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71lUQ5KH8aL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Solid-FP03_Black-Fashion-Color_Medium/dp/B08JQH3K5T/ref=sr_1_18?qid=1679142473&s=apparel&sr=1-18,4.1,"5,841",₹249,₹309
Lux Cozi Men's Cotton Boxers (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61WvUZIPAcL._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Cotton-Boxer-COZI_Bigshot_SLP_DRW_95_3PC_Assorted/dp/B072KS6BTG/ref=sr_1_19?qid=1679142473&s=apparel&sr=1-19,3.8,"4,437",₹379,₹561
Jockey Men's Flat Front Boxer Shorts (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81S-iDVmtIL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Boxers-1222-0210-ASSTD-Shorts/dp/B00MGGFMZE/ref=sr_1_20?qid=1679142473&s=apparel&sr=1-20,4.2,"10,062",₹798,₹918
Lux Cozi Men's White Round Neck Sleeveless Cotton Vest (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61qlZbB7aaL._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Mens-Cotton-8904209871084_COZI_WH_RN_95_White/dp/B071XHV1H1/ref=sr_1_25?qid=1679142473&s=apparel&sr=1-25,4.1,"5,998",₹364,₹504
