name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
LookMark Men's Poly Cotton Digital Printed Stitched Half Sleeve Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/71cFpnm0b6S._AC_UL320_.jpg,https://www.amazon.in/LookMark-Cotton-Digital-Printed-Stitched/dp/B094J7DD35/ref=sr_1_5?qid=1679140758&s=apparel&sr=1-5,3.5,"2,746",₹359,"₹1,199"
Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/41K8J6J3fUL._AC_UL320_.jpg,https://www.amazon.in/Lyriq-Casual-Shirt-Stylish-Printed/dp/B0BPMS26F2/ref=sr_1_6?qid=1679140758&s=apparel&sr=1-6,4.5,519,₹398,"₹1,999"
Allen Solly Men's Slim Fit Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/71T3EQknkBL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_42/dp/B07DMQRD6F/ref=sr_1_7?qid=1679140758&s=apparel&sr=1-7,3.7,"12,190",₹759,"₹1,499"
Dennis Lingo Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves,men's clothing,Shirts,https://m.media-amazon.com/images/I/618Wek95laS._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Solid-Casual-C301_Dustypink_M_Dustypink_M/dp/B07HK7B2PQ/ref=sr_1_8?qid=1679140758&s=apparel&sr=1-8,3.8,"29,606",₹575,"₹1,849"
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Shed Floral),men's clothing,Shirts,https://m.media-amazon.com/images/I/7181NjMrq-L._AC_UL320_.jpg,https://www.amazon.in/Lymio-Casual-Stylish-Printed-Shed/dp/B0BRKHNDN6/ref=sr_1_9?qid=1679140758&s=apparel&sr=1-9,4.3,306,₹349,"₹4,999"
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta),men's clothing,Shirts,https://m.media-amazon.com/images/I/71On2XSPuRL._AC_UL320_.jpg,https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKHMK9L/ref=sr_1_10?qid=1679140758&s=apparel&sr=1-10,4.6,331,₹349,"₹4,999"
Dennis Lingo Men's Solid Slim Fit Casual Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/61qcnAHZP3L._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C301_Black_Medium/dp/B0713QPGCF/ref=sr_1_11?qid=1679140758&s=apparel&sr=1-11,3.9,"11,522",₹575,"₹1,849"
Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/61DGAlvxRLL._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Checkered-D-Blue-AZ751_D-Blue_XL/dp/B08YNYXCRW/ref=sr_1_12?qid=1679140758&s=apparel&sr=1-12,3.9,"2,404",₹610,"₹2,499"
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey),men's clothing,Shirts,https://m.media-amazon.com/images/I/71UkW9i6uRL._AC_UL320_.jpg,https://www.amazon.in/Lymio-Casual-Stylish-Printed-Karrey/dp/B0BRKKQ5LM/ref=sr_1_13?qid=1679140758&s=apparel&sr=1-13,4.5,125,₹349,"₹4,999"
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry),men's clothing,Shirts,https://m.media-amazon.com/images/I/711LeSGXlcL._AC_UL320_.jpg,https://www.amazon.in/Lymio-Casual-Stylish-Printed-Mistry/dp/B0BRKHWGTB/ref=sr_1_14?qid=1679140758&s=apparel&sr=1-14,4.5,229,₹349,"₹4,999"
GUSTAVE Men's Shirt Stays Adjustable Elastic Shirt Garters with Locking Non-Slip Clips,men's clothing,Shirts,https://m.media-amazon.com/images/I/51o+2HUlgOL._AC_UL320_.jpg,https://www.amazon.in/GUSTAVE%C2%AE-Adjustable-Elastic-Garters-Non-Slip/dp/B07WVXMZ8Y/ref=sr_1_15?qid=1679140758&s=apparel&sr=1-15,4.0,563,₹637,₹771
Amazon Brand - Inkast Denim Co. Men Casual Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/71ssF1s7V1L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Inkast-S-02C_Medium-Grey_Large/dp/B07GTGJT74/ref=sr_1_16?qid=1679140758&s=apparel&sr=1-16,4.0,"15,850",₹690.40,"₹2,099"
Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/61os5unWZHL._AC_UL320_.jpg,https://www.amazon.in/Lyriq-Casual-Shirt-Stylish-Printed/dp/B0BRJSM8JD/ref=sr_1_17?qid=1679140758&s=apparel&sr=1-17,4.6,482,₹398,"₹1,999"
"Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear",men's clothing,Shirts,https://m.media-amazon.com/images/I/61X9WBQlceL._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C442_Olive_M/dp/B082G9T3YS/ref=sr_1_18?qid=1679140758&s=apparel&sr=1-18,4.1,"5,330",₹625,"₹2,499"
Diverse Men's Regular Fit Formal Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/710+M61cX4L._AC_UL320_.jpg,https://www.amazon.in/Diverse-Printed-Regular-Cotton-DVF01F2L01-263-40_Navy_40/dp/B075KK8SZ4/ref=sr_1_19?qid=1679140758&s=apparel&sr=1-19,3.9,"26,844",₹424.19,"₹1,199"
U-TURN Men's Cotton Solid Formal/Semi Formal Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/51inUyV2tdL._AC_UL320_.jpg,https://www.amazon.in/U-TURN-Cotton-Solid-Formal-White/dp/B07FCKDLKJ/ref=sr_1_20?qid=1679140758&s=apparel&sr=1-20,3.5,218,₹378,"₹1,499"
Dennis Lingo Men's Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/61GCysaiXgL._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C415_TEALBLUE_M_Teal/dp/B07D9WDR3X/ref=sr_1_25?qid=1679140758&s=apparel&sr=1-25,4.0,"2,720",₹499,"₹2,499"
UNIBLISS Men's Casual Shirt Printed Rayon Halfsleeve,men's clothing,Shirts,https://m.media-amazon.com/images/I/61FleZG8eFL._AC_UL320_.jpg,https://www.amazon.in/UNIBLISS-Casual-Printed-Halfsleeve-Medium/dp/B09SXX49CJ/ref=sr_1_26?qid=1679140758&s=apparel&sr=1-26,3.4,713,₹449,₹999
Miraan Men's Long Sleeve Casual Denim Shirt (SIGDENIM),men's clothing,Shirts,https://m.media-amazon.com/images/I/81uTb5UwUgL._AC_UL320_.jpg,https://www.amazon.in/Miraan-Sleeve-Casual-Light-blue-SIGLIGHTDENIML/dp/B0B2183N6C/ref=sr_1_27?qid=1679140758&s=apparel&sr=1-27,3.7,484,₹569,"₹2,715"
Dennis Lingo Men Casual Shirts,men's clothing,Shirts,https://m.media-amazon.com/images/I/61YQd1wdQBL._AC_UL320_.jpg,https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_Dustypink_L_Dustypink_L/dp/B07HK7159P/ref=sr_1_28?qid=1679140758&s=apparel&sr=1-28,4.0,"14,950",₹499,"₹1,849"
Majestic Man Slim Fit Cotton Casual Check Shirt for Men,men's clothing,Shirts,https://m.media-amazon.com/images/I/61uBH8gIIIL._AC_UL320_.jpg,https://www.amazon.in/Majestic-Man-Cotton-Casual-Check/dp/B0B3WZJC6K/ref=sr_1_29?qid=1679140758&s=apparel&sr=1-29,3.9,695,₹449,"₹1,499"
Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/719CGT1cEmL._AC_UL320_.jpg,https://www.amazon.in/Lyriq-Casual-Shirt-Stylish-Printed/dp/B0BV3FC7VT/ref=sr_1_30?qid=1679140758&s=apparel&sr=1-30,,,₹399,"₹1,999"
OTUS Men's Cotton Casual/Formal Slim Fit Solid Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/41Aemtzsa3L._AC_UL320_.jpg,https://www.amazon.in/OTUS-Cotton-Casual-Solid-Black/dp/B09WKKZ78W/ref=sr_1_31?qid=1679140758&s=apparel&sr=1-31,3.6,656,₹438,"₹1,799"
