name,department,reason
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta)","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey)","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry)","fashion","Duplicate product title fingerprint"
"Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Casual Shirt","fashion","Duplicate product title fingerprint"
"Allen Solly Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men's Slim Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Squre)","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Beach Blue,Red,Rama)","fashion","Duplicate product title fingerprint"
"Dennis Lingo Men Casual Shirts","fashion","Duplicate product title fingerprint"
"Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men's Slim Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Wedding)","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men's Slim Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Lyriq Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Diverse Men's Regular Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"Lyriq Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Casual Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Casual Shirt","fashion","Duplicate product title fingerprint"
"IndoPrimo Men's Poly Cotton Casual Shirt for Men Half Sleeves","fashion","Duplicate product title fingerprint"
"LookMark Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Lyriq Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men Formal Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men Formal Shirt","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Big Pan)","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Shirt","fashion","Duplicate product title fingerprint"
"The Indian Garage Co Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Long Full Sleeves Regular Fit Cotton Linen Formal Plain Shirts(GCR55)","fashion","Duplicate product title fingerprint"
"ACCOX Men's Full/Long Sleeves Formal Regular Fit Cotton Linen Plain Shirt (GCRFS27) Maroon","fashion","Duplicate product title fingerprint"
"IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves","fashion","Duplicate product title fingerprint"
"LEWEL Men's Hooded Stylish Checkered Full Sleeve Shirt White","fashion","Duplicate product title fingerprint"
"Diverse Men's Regular Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"IndoPrimo Men's Regular Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"LEWEL Men's Hooded Stylish Checkered Half Sleeve Shirt White","fashion","Duplicate product title fingerprint"
"LookMark Men's Poly Cotton Digital Printed Half Sleeve Shirt","fashion","Duplicate product title fingerprint"
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Sheded Rose)","fashion","Duplicate product title fingerprint"
