product_id,image_path
14592,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14592.jpg
6214,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6214.jpg
13817,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\13817.jpg
14516,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14516.jpg
16638,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\16638.jpg
17753,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17753.jpg
8276,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\8276.jpg
107,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\107.jpg
14396,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14396.jpg
11165,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11165.jpg
10882,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\10882.jpg
50,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\50.jpg
11311,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11311.jpg
7746,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\7746.jpg
10576,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\10576.jpg
6141,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6141.jpg
189,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\189.jpg
6489,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6489.jpg
11417,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11417.jpg
15200,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15200.jpg
8242,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\8242.jpg
11045,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11045.jpg
11515,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11515.jpg
14532,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14532.jpg
16100,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\16100.jpg
11610,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11610.jpg
4236,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4236.jpg
7045,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\7045.jpg
17374,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17374.jpg
12867,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\12867.jpg
10721,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\10721.jpg
15572,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15572.jpg
5102,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\5102.jpg
4084,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4084.jpg
977,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\977.jpg
238,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\238.jpg
14698,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14698.jpg
8444,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\8444.jpg
9960,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\9960.jpg
6855,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6855.jpg
13476,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\13476.jpg
4170,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4170.jpg
16319,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\16319.jpg
15484,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15484.jpg
16172,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\16172.jpg
7166,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\7166.jpg
15809,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15809.jpg
14781,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14781.jpg
14732,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14732.jpg
13736,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\13736.jpg
12339,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\12339.jpg
11436,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11436.jpg
11118,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11118.jpg
11818,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11818.jpg
9299,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\9299.jpg
5492,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\5492.jpg
4314,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4314.jpg
4101,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4101.jpg
4090,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4090.jpg
3747,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\3747.jpg
2499,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\2499.jpg
4800,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4800.jpg
13678,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\13678.jpg
16243,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\16243.jpg
6605,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6605.jpg
15709,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15709.jpg
6167,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6167.jpg
14847,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14847.jpg
9094,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\9094.jpg
2845,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\2845.jpg
6508,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6508.jpg
14277,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14277.jpg
10297,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\10297.jpg
11536,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11536.jpg
17457,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17457.jpg
4609,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4609.jpg
7016,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\7016.jpg
2017,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\2017.jpg
14905,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14905.jpg
17352,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17352.jpg
17696,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17696.jpg
10433,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\10433.jpg
6409,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\6409.jpg
14173,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14173.jpg
5487,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\5487.jpg
17419,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\17419.jpg
4054,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\4054.jpg
12315,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\12315.jpg
15327,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\15327.jpg
5446,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\5446.jpg
14900,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\14900.jpg
11327,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\11327.jpg
3900,D:\Preet\Others\Projects\sem5project\Cartify\Cartify\ml-service\cnn\..\data\images\3900.jpg
